Date,Dividends
2007-07-02 00:00:00-04:00,0.406
2007-08-01 00:00:00-04:00,0.37
2007-09-04 00:00:00-04:00,0.354
2007-10-01 00:00:00-04:00,0.32
2007-11-01 00:00:00-04:00,0.302
2007-12-03 00:00:00-05:00,0.278
2007-12-28 00:00:00-05:00,0.258
2008-02-01 00:00:00-05:00,0.23
2008-03-03 00:00:00-05:00,0.174
2008-04-01 00:00:00-04:00,0.14
2008-05-01 00:00:00-04:00,0.108
2008-06-02 00:00:00-04:00,0.094
2008-07-01 00:00:00-04:00,0.112
2008-08-01 00:00:00-04:00,0.132
2008-09-02 00:00:00-04:00,0.126
2008-10-01 00:00:00-04:00,0.126
2008-11-03 00:00:00-05:00,0.094
2008-12-01 00:00:00-05:00,0.052
2008-12-29 00:00:00-05:00,0.056
2009-02-02 00:00:00-05:00,0.016
2009-03-02 00:00:00-05:00,0.014
2009-04-01 00:00:00-04:00,0.016
2009-05-01 00:00:00-04:00,0.01
2009-06-01 00:00:00-04:00,0.008
2009-07-01 00:00:00-04:00,0.002
2009-08-03 00:00:00-04:00,0.004
2009-09-01 00:00:00-04:00,0.004
2009-10-01 00:00:00-04:00,0.004
2009-11-02 00:00:00-05:00,0.002
2009-12-29 00:00:00-05:00,0.008
2011-12-28 00:00:00-05:00,0.004
2016-12-01 00:00:00-05:00,0.042
2016-12-28 00:00:00-05:00,0.018
2017-02-01 00:00:00-05:00,0.026
2017-03-01 00:00:00-05:00,0.024
2017-04-03 00:00:00-04:00,0.028
2017-05-01 00:00:00-04:00,0.034
2017-06-01 00:00:00-04:00,0.054
2017-07-03 00:00:00-04:00,0.05
2017-08-01 00:00:00-04:00,0.064
2017-09-01 00:00:00-04:00,0.066
2017-10-02 00:00:00-04:00,0.064
2017-11-01 00:00:00-04:00,0.07
2017-12-01 00:00:00-05:00,0.066
2017-12-19 00:00:00-05:00,0.082
2018-02-01 00:00:00-05:00,0.086
2018-03-01 00:00:00-05:00,0.079
2018-04-02 00:00:00-04:00,0.105
2018-05-01 00:00:00-04:00,0.107
2018-06-01 00:00:00-04:00,0.126
2018-07-02 00:00:00-04:00,0.127
2018-08-01 00:00:00-04:00,0.135
2018-09-04 00:00:00-04:00,0.138
2018-10-01 00:00:00-04:00,0.146
2018-11-01 00:00:00-04:00,0.15
2018-12-03 00:00:00-05:00,0.157
2018-12-19 00:00:00-05:00,0.16
2019-02-01 00:00:00-05:00,0.179
2019-03-01 00:00:00-05:00,0.17
2019-04-01 00:00:00-04:00,0.176
2019-05-01 00:00:00-04:00,0.174
2019-06-03 00:00:00-04:00,0.176
2019-07-01 00:00:00-04:00,0.165
2019-08-01 00:00:00-04:00,0.155
2019-09-03 00:00:00-04:00,0.168
2019-10-01 00:00:00-04:00,0.137
2019-11-01 00:00:00-04:00,0.139
2019-12-02 00:00:00-05:00,0.117
2019-12-20 00:00:00-05:00,0.115
2020-02-03 00:00:00-05:00,0.108
2020-03-02 00:00:00-05:00,0.097
2020-04-01 00:00:00-04:00,0.052
2020-05-01 00:00:00-04:00,0.014
2020-12-01 00:00:00-05:00,0.003
2022-03-01 00:00:00-05:00,0.022
2022-06-01 00:00:00-04:00,0.031
2022-07-01 00:00:00-04:00,0.053
2022-08-01 00:00:00-04:00,0.097
2022-09-01 00:00:00-04:00,0.139
2022-10-03 00:00:00-04:00,0.155
2022-11-01 00:00:00-04:00,0.208
2022-12-01 00:00:00-05:00,0.26
2022-12-19 00:00:00-05:00,0.271
2023-02-01 00:00:00-05:00,0.336
2023-03-01 00:00:00-05:00,0.255
2023-04-03 00:00:00-04:00,0.372
2023-05-01 00:00:00-04:00,0.353
2023-06-01 00:00:00-04:00,0.371
2023-07-03 00:00:00-04:00,0.373
2023-08-01 00:00:00-04:00,0.394
2023-09-01 00:00:00-04:00,0.405
2023-10-02 00:00:00-04:00,0.394
2023-11-01 00:00:00-04:00,0.408
2023-12-01 00:00:00-05:00,0.419
2023-12-18 00:00:00-05:00,0.421
2024-02-01 00:00:00-05:00,0.406
2024-03-01 00:00:00-05:00,0.355
2024-04-01 00:00:00-04:00,0.405
2024-05-01 00:00:00-04:00,0.388
2024-06-03 00:00:00-04:00,0.405
2024-07-01 00:00:00-04:00,0.392
2024-08-01 00:00:00-04:00,0.402
2024-09-03 00:00:00-04:00,0.396
2024-10-01 00:00:00-04:00,0.371
2024-11-01 00:00:00-04:00,0.359
2024-12-02 00:00:00-05:00,0.335
2024-12-19 00:00:00-05:00,0.383
2025-02-03 00:00:00-05:00,0.326
2025-03-03 00:00:00-05:00,0.289
2025-04-01 00:00:00-04:00,0.321
2025-05-01 00:00:00-04:00,0.312
2025-06-02 00:00:00-04:00,0.316
2025-07-01 00:00:00-04:00,0.306
2025-08-01 00:00:00-04:00,0.319
2025-09-02 00:00:00-04:00,0.322
2025-10-01 00:00:00-04:00,0.311
2025-11-03 00:00:00-05:00,0.303
