Date,Dividends
2020-11-20 00:00:00-05:00,0.652
2020-12-18 00:00:00-05:00,0.588
2021-01-15 00:00:00-05:00,0.128
2021-02-19 00:00:00-05:00,0.601
2021-03-19 00:00:00-04:00,0.671
2021-04-16 00:00:00-04:00,0.112
2021-05-21 00:00:00-04:00,0.703
2021-06-18 00:00:00-04:00,0.493
2021-07-16 00:00:00-04:00,0.207
2021-08-20 00:00:00-04:00,0.611
2021-09-17 00:00:00-04:00,0.736
2021-10-15 00:00:00-04:00,0.117
2021-11-19 00:00:00-05:00,0.701
2021-12-17 00:00:00-05:00,0.662
2022-01-21 00:00:00-05:00,0.258
2022-02-18 00:00:00-05:00,0.519
2022-03-18 00:00:00-04:00,0.772
2022-04-14 00:00:00-04:00,0.126
2022-05-20 00:00:00-04:00,0.745
2022-06-17 00:00:00-04:00,0.692
2022-07-15 00:00:00-04:00,0.128
2022-08-19 00:00:00-04:00,0.656
2022-09-16 00:00:00-04:00,0.823
2022-10-21 00:00:00-04:00,0.182
2022-11-18 00:00:00-05:00,0.681
2022-12-16 00:00:00-05:00,0.75
2023-01-20 00:00:00-05:00,0.28
2023-02-17 00:00:00-05:00,0.552
2023-03-17 00:00:00-04:00,0.858
2023-04-21 00:00:00-04:00,0.184
2023-05-19 00:00:00-04:00,0.726
2023-06-16 00:00:00-04:00,0.776
2023-07-21 00:00:00-04:00,0.268
2023-08-18 00:00:00-04:00,0.51
2023-09-15 00:00:00-04:00,0.923
2023-10-20 00:00:00-04:00,0.187
2023-11-17 00:00:00-05:00,0.707
2023-12-15 00:00:00-05:00,0.833
2024-01-19 00:00:00-05:00,0.213
2024-02-16 00:00:00-05:00,0.612
2024-03-15 00:00:00-04:00,0.933
2024-04-19 00:00:00-04:00,0.198
2024-05-17 00:00:00-04:00,0.594
2024-06-21 00:00:00-04:00,0.874
2024-07-19 00:00:00-04:00,0.194
2024-08-16 00:00:00-04:00,0.327
2024-09-20 00:00:00-04:00,1.248
2024-10-18 00:00:00-04:00,0.149
2024-11-15 00:00:00-05:00,0.266
2024-12-20 00:00:00-05:00,1.223
2025-01-17 00:00:00-05:00,0.162
2025-02-21 00:00:00-05:00,0.659
2025-03-21 00:00:00-04:00,0.801
2025-04-17 00:00:00-04:00,0.197
2025-05-16 00:00:00-04:00,0.322
2025-06-20 00:00:00-04:00,1.199
2025-07-18 00:00:00-04:00,0.181
2025-08-15 00:00:00-04:00,0.266
2025-09-19 00:00:00-04:00,1.318
2025-10-17 00:00:00-04:00,0.155
