Date,Dividends
2020-12-14 00:00:00-05:00,0.592
2021-03-25 00:00:00-04:00,0.398
2021-06-10 00:00:00-04:00,0.347
2021-09-24 00:00:00-04:00,0.679
2021-12-13 00:00:00-05:00,0.666
2022-03-24 00:00:00-04:00,0.4
2022-06-09 00:00:00-04:00,0.494
2022-09-26 00:00:00-04:00,0.861
2022-12-13 00:00:00-05:00,0.83
2023-03-23 00:00:00-04:00,0.631
2023-06-07 00:00:00-04:00,0.509
2023-09-26 00:00:00-04:00,0.829
2023-12-20 00:00:00-05:00,0.734
2024-03-21 00:00:00-04:00,0.522
2024-06-11 00:00:00-04:00,0.562
2024-09-25 00:00:00-04:00,0.752
2024-12-17 00:00:00-05:00,0.694
2025-03-18 00:00:00-04:00,0.46
2025-06-16 00:00:00-04:00,0.576
2025-09-16 00:00:00-04:00,0.677
