,Open,High,Low,Close
2024-01-01,99.76774830911724,100.46450338176551,99.53549661823449,100.0
2024-01-02,110.97670356715804,111.37992619901726,110.84229602320497,111.11111111111111
2024-01-03,122.04835476798253,122.56995713070164,121.87448731374282,122.22222222222223
2024-01-04,133.03269997301734,133.93460005396528,132.73206661270135,133.33333333333331
2024-01-05,144.20750839111324,144.91831655110687,143.97057233778204,144.44444444444446
2024-01-06,155.3502694541512,155.9661277583642,155.1449833527469,155.55555555555554
2024-01-07,166.49551576387393,167.00896847225212,166.3243648610812,166.66666666666666
2024-01-08,177.5905022016638,178.15232893000567,177.40322662554988,177.77777777777777
2024-01-09,188.5603043202727,189.54605802612124,188.2317197516565,188.88888888888889
2024-01-10,199.636790486332,200.72641902733602,199.27358097266395,200.0
