,Open,High,Low,Close
2024-01-01,49.99648865340555,50.00702269318891,49.9929773068111,50.0
2024-01-02,59.90008144538013,60.19983710923974,59.80016289076026,60.0
2024-01-03,69.93377320534321,70.13245358931358,69.86754641068642,70.0
2024-01-04,79.9092774064765,80.18144518704699,79.81855481295301,80.0
2024-01-05,89.92055116857658,90.15889766284683,89.84110233715317,90.0
2024-01-06,99.9608061281619,100.07838774367619,99.92161225632381,100.0
2024-01-07,109.83916017145141,110.32167965709718,109.67832034290284,110.0
2024-01-08,119.80346128033514,120.39307743932972,119.60692256067027,120.0
2024-01-09,129.89018301839718,130.21963396320564,129.78036603679436,130.0
2024-01-10,139.74780429472796,140.5043914105441,139.4956085894559,140.0
2024-01-11,149.98258778711622,150.03482442576754,149.96517557423246,150.0
