,Open,High,Low,Close,Volume
2024-01-01,100.0,100.0,100.0,100.0,1000000
2024-01-02,101.0,101.0,101.0,101.0,1000000
2024-01-03,102.0,102.0,102.0,102.0,1000000
2024-01-04,103.0,103.0,103.0,103.0,1000000
2024-01-05,104.0,104.0,104.0,104.0,1000000
2024-01-06,105.0,105.0,105.0,105.0,1000000
2024-01-07,106.0,106.0,106.0,106.0,1000000
2024-01-08,107.0,107.0,107.0,107.0,1000000
2024-01-09,108.0,108.0,108.0,108.0,1000000
2024-01-10,109.00000000000001,109.00000000000001,109.00000000000001,109.00000000000001,1000000
2024-01-11,110.00000000000001,110.00000000000001,110.00000000000001,110.00000000000001,1000000
2024-01-12,111.00000000000001,111.00000000000001,111.00000000000001,111.00000000000001,1000000
2024-01-13,112.00000000000001,112.00000000000001,112.00000000000001,112.00000000000001,1000000
2024-01-14,112.99999999999999,112.99999999999999,112.99999999999999,112.99999999999999,1000000
2024-01-15,114.00000000000001,114.00000000000001,114.00000000000001,114.00000000000001,1000000
2024-01-16,114.99999999999999,114.99999999999999,114.99999999999999,114.99999999999999,1000000
2024-01-17,115.99999999999999,115.99999999999999,115.99999999999999,115.99999999999999,1000000
2024-01-18,117.0,117.0,117.0,117.0,1000000
2024-01-19,118.0,118.0,118.0,118.0,1000000
2024-01-20,119.0,119.0,119.0,119.0,1000000
2024-01-21,120.0,120.0,120.0,120.0,1000000
2024-01-22,121.0,121.0,121.0,121.0,1000000
2024-01-23,122.0,122.0,122.0,122.0,1000000
2024-01-24,123.0,123.0,123.0,123.0,1000000
2024-01-25,124.0,124.0,124.0,124.0,1000000
2024-01-26,125.0,125.0,125.0,125.0,1000000
2024-01-27,126.0,126.0,126.0,126.0,1000000
2024-01-28,127.0,127.0,127.0,127.0,1000000
2024-01-29,128.0,128.0,128.0,128.0,1000000
2024-01-30,129.0,129.0,129.0,129.0,1000000
2024-01-31,130.0,130.0,130.0,130.0,1000000
2024-02-01,131.0,131.0,131.0,131.0,1000000
2024-02-02,132.0,132.0,132.0,132.0,1000000
2024-02-03,133.0,133.0,133.0,133.0,1000000
2024-02-04,134.0,134.0,134.0,134.0,1000000
2024-02-05,135.0,135.0,135.0,135.0,1000000
2024-02-06,136.0,136.0,136.0,136.0,1000000
2024-02-07,137.0,137.0,137.0,137.0,1000000
2024-02-08,138.0,138.0,138.0,138.0,1000000
2024-02-09,139.0,139.0,139.0,139.0,1000000
2024-02-10,140.0,140.0,140.0,140.0,1000000
2024-02-11,141.0,141.0,141.0,141.0,1000000
2024-02-12,142.0,142.0,142.0,142.0,1000000
2024-02-13,143.0,143.0,143.0,143.0,1000000
2024-02-14,144.0,144.0,144.0,144.0,1000000
2024-02-15,145.0,145.0,145.0,145.0,1000000
2024-02-16,146.0,146.0,146.0,146.0,1000000
2024-02-17,147.0,147.0,147.0,147.0,1000000
2024-02-18,148.0,148.0,148.0,148.0,1000000
2024-02-19,149.0,149.0,149.0,149.0,1000000
2024-02-20,150.0,150.0,150.0,150.0,1000000
2024-02-21,151.0,151.0,151.0,151.0,1000000
