Date,Dividends
2020-12-21 00:00:00-05:00,0.52
2021-03-22 00:00:00-04:00,0.52
2021-06-21 00:00:00-04:00,0.53
2021-09-20 00:00:00-04:00,0.592
2021-12-20 00:00:00-05:00,0.695
2022-03-21 00:00:00-04:00,0.7
2022-06-21 00:00:00-04:00,0.815
2022-09-19 00:00:00-04:00,0.846
2022-12-19 00:00:00-05:00,0.86
2023-03-20 00:00:00-04:00,0.795
2023-06-20 00:00:00-04:00,0.706
2023-09-18 00:00:00-04:00,0.674
2023-12-18 00:00:00-05:00,0.802
2024-03-18 00:00:00-04:00,0.734
2024-06-24 00:00:00-04:00,0.715
2024-09-23 00:00:00-04:00,0.727
2024-12-23 00:00:00-05:00,0.7
2025-03-24 00:00:00-04:00,0.716
2025-06-23 00:00:00-04:00,0.718
2025-09-22 00:00:00-04:00,0.749
