Date,Dividends
2020-12-21 00:00:00-05:00,0.152
2021-03-22 00:00:00-04:00,0.151
2021-06-21 00:00:00-04:00,0.139
2021-09-20 00:00:00-04:00,0.162
2021-12-20 00:00:00-05:00,0.184
2022-03-21 00:00:00-04:00,0.152
2022-06-21 00:00:00-04:00,0.164
2022-09-19 00:00:00-04:00,0.173
2022-12-19 00:00:00-05:00,0.21
2023-03-20 00:00:00-04:00,0.153
2023-06-20 00:00:00-04:00,0.15
2023-09-18 00:00:00-04:00,0.155
2023-12-18 00:00:00-05:00,0.184
2024-03-18 00:00:00-04:00,0.153
2024-06-24 00:00:00-04:00,0.163
2024-09-23 00:00:00-04:00,0.165
2024-12-23 00:00:00-05:00,0.206
2025-03-24 00:00:00-04:00,0.179
2025-06-23 00:00:00-04:00,0.172
2025-09-22 00:00:00-04:00,0.178
