Date,Dividends
2020-12-21 00:00:00-05:00,0.298
2021-03-22 00:00:00-04:00,0.273
2021-06-21 00:00:00-04:00,0.26
2021-09-20 00:00:00-04:00,0.273
2021-12-20 00:00:00-05:00,0.317
2022-03-21 00:00:00-04:00,0.286
2022-06-21 00:00:00-04:00,0.323
2022-09-19 00:00:00-04:00,0.317
2022-12-19 00:00:00-05:00,0.365
2023-03-20 00:00:00-04:00,0.316
2023-06-20 00:00:00-04:00,0.362
2023-09-18 00:00:00-04:00,0.36
2023-12-18 00:00:00-05:00,0.422
2024-03-18 00:00:00-04:00,0.339
2024-06-24 00:00:00-04:00,0.4
2024-09-23 00:00:00-04:00,0.399
2024-12-23 00:00:00-05:00,0.386
2025-03-24 00:00:00-04:00,0.375
2025-06-23 00:00:00-04:00,0.398
2025-09-22 00:00:00-04:00,0.358
