withdrawal_rate,mean_bank,std_bank,abs_mean_bank,balance_score,margin_usage_pct,bank_min,bank_max,total_return,final_value,total_withdrawn
0.1,701.1256302858149,17015.514509833512,701.1256302858149,9208.88288520257,30.76923076923077,-19709.100494384766,18187.803666445754,-0.15518233363146355,403577.8401820126,-19055.798769659086
0.09,947.119120927481,17166.114076771803,947.119120927481,9530.176159313382,30.76923076923077,-19709.100494384766,18447.840393066406,-0.14953168952142254,406277.20933153597,-21951.51798632111
0.08,1084.7792748449713,17247.155300517014,1084.7792748449713,9708.356925103479,30.76923076923077,-19709.100494384766,18447.840393066406,-0.14227994851361353,409741.43846641085,-25649.597218852272
0.07,1217.8144287624618,17458.85351235567,1217.8144287624618,9947.241184940296,30.76923076923077,-19709.100494384766,18623.552428572573,-0.1349945887876577,413221.7275988444,-29286.01644772132
0.06,1374.6879175052554,17547.48656533645,1374.6879175052554,10148.43120017348,30.76923076923077,-19709.100494384766,18635.97201920339,-0.12854339622873273,416303.5267410435,-32582.775672928274
0.05,1463.5186290806241,17637.677337904013,1463.5186290806241,10282.357298032632,30.76923076923077,-19709.100494384766,18648.391609834205,-0.12049110677203953,420150.1858685942,-36675.24488959028
0.04,1690.2987848969867,17776.63495915484,1690.2987848969867,10578.616264474405,30.76923076923077,-19709.100494384766,18848.880401611328,-0.11403991421311459,423231.9850107933,-39972.28411357651
0.03,1871.0072718765437,18010.41943888774,1871.0072718765437,10876.216991320414,30.76923076923077,-19709.100494384766,19071.720781330212,-0.10675455448715873,426712.27414322685,-43636.99335099049
0.02,1980.2074275572709,18105.178973690887,1980.2074275572709,11032.796914402714,30.76923076923077,-19709.100494384766,19084.140371961024,-0.09950281347934972,430176.50327810174,-47362.81257375603
0.01,2029.5094716835583,18057.579119960345,2029.5094716835583,11058.29903166373,21.428571428571427,-19709.100494384766,18848.880401611328,-0.09141305152271048,434041.0633932815,-51477.25281588889
0.0,-35029.6122000558,23409.579154290994,35029.6122000558,46734.4017772013,100.0,-56388.940826416016,0.0,-0.1996877241217532,382317.1704711914,0.0
