strategy,ticker,allocation,initial_investment,final_value,total_return,annualized_return,transaction_count
buy-hold,NVDA,0.2,200000.0,1876165.4962005615,8.381068614920423,0,1
buy-hold,GOOG,0.2,200000.0,424490.76544189453,1.1230770225253415,0,1
buy-hold,PLTR,0.2,200000.0,2367067.6540374756,10.835680568646605,0,1
buy-hold,BTC-USD,0.2,200000.0,1121150.4375,4.619774622796108,0,1
buy-hold,ETH-USD,0.2,200000.0,553200.2685546875,1.7748786782762558,0,1
ath-only,NVDA,0.2,200000.0,1056205.658525467,4.28116404131729,0,28
ath-only,GOOG,0.2,200000.0,388590.44624328613,0.9435227212378994,0,10
ath-only,PLTR,0.2,200000.0,1212769.6172127724,5.064023463041644,0,30
ath-only,BTC-USD,0.2,200000.0,1121150.4375,4.619774622796108,0,1
ath-only,ETH-USD,0.2,200000.0,474125.1358642578,1.3782340774740645,0,15
full-sd8,NVDA,0.2,200000.0,1096830.0078144073,4.48429100900101,0,75
full-sd8,GOOG,0.2,200000.0,395961.32747650146,0.9803879486020617,0,24
full-sd8,PLTR,0.2,200000.0,1448422.6332268715,6.242322620576784,0,304
full-sd8,BTC-USD,0.2,200000.0,1121150.4375,4.619774622796108,0,1
full-sd8,ETH-USD,0.2,200000.0,582535.7902832031,1.9220270409718183,0,324
