Ticker,Strategy,FinalValue,TotalWithdrawn,Survived,FinalPurchasingPower
NVDA,buy-hold,21092794.955459595,247045.83660154094,True,18239703.575566743
NVDA,ath-only,4738019.543121338,247045.83660154094,True,4097137.0643038778
NVDA,full-sd8,6735851.773239136,190089.7346370448,True,5824734.935899842
BTC-USD,buy-hold,11865508.796875,244835.496262192,True,10260535.1109366
BTC-USD,ath-only,3456880.515625,244835.496262192,True,2989289.7567295604
BTC-USD,full-sd8,529556723.3125,-295407655.6674108,True,457926874.08495
MSTR,buy-hold,17817422.099609375,242298.85649632147,True,15407370.064701123
MSTR,ath-only,3531046.98046875,242298.85649632147,True,3053424.1844739285
MSTR,full-sd8,1851108515.7514648,-840654186.0206528,True,1600720562.865698
VOO,buy-hold,1473106.5333251953,244398.0249599952,True,1273848.5610759514
VOO,ath-only,1309308.2940673828,244398.0249599952,True,1132206.2923974257
VOO,full-sd8,1364805.723815918,122948.17603795492,True,1180196.9294825841
