ticker,asset_class,strategy,sd_n,profit_pct,rebalance_trigger,total_return_pct,volatility_alpha_pct,max_drawdown_pct,sharpe_ratio,transaction_count,final_holdings,final_bank,final_value,start_date,end_date
NVDA,growth_stocks,sd6,6,50.0,0,174.4264635000509,-50.4187403643769,0,0,25,5840,363856.256942749,1178652.9927825928,2023-10-23,2024-10-23
NVDA,growth_stocks,sd8,8,50.0,0,174.58922912261673,-50.25597474181105,0,0,38,5896,356742.2107658386,1179352.065990448,2023-10-23,2024-10-23
NVDA,growth_stocks,sd10,10,50.0,0,172.98148170859193,-51.86372215583586,0,0,54,5730,372997.3045806885,1172446.8416290283,2023-10-23,2024-10-23
NVDA,growth_stocks,sd12,12,50.0,0,172.4761282021266,-52.36907566230118,0,0,71,5778,364129.8677597046,1170276.3642807007,2023-10-23,2024-10-23
GOOG,growth_stocks,sd6,6,50.0,0,21.2934503841475,2.0186113649324904,0,0,8,9550,101852.64756774902,1672636.606765747,2023-10-23,2024-10-23
GOOG,growth_stocks,sd8,8,50.0,0,20.831685021843636,1.5568460026286286,0,0,11,9256,143842.02224731445,1666268.862701416,2023-10-23,2024-10-23
GOOG,growth_stocks,sd10,10,50.0,0,20.207005502901605,0.9321664836865945,0,0,14,9083,163682.7313232422,1657654.5325164795,2023-10-23,2024-10-23
GOOG,growth_stocks,sd12,12,50.0,0,20.689570830770837,1.4147318115558276,0,0,20,9245,143691.5475921631,1664309.1080932617,2023-10-23,2024-10-23
PLTR,growth_stocks,sd6,6,50.0,0,138.8785837324833,-24.02263939597804,0,0,23,6533,108742.85287475586,386983.32387161255,2023-10-23,2024-10-23
PLTR,growth_stocks,sd8,8,50.0,0,139.94277301692856,-22.95845011153279,0,0,42,6452,113916.62960910797,388707.31059360504,2023-10-23,2024-10-23
PLTR,growth_stocks,sd10,10,50.0,0,137.6076008963832,-25.29362223207816,0,0,51,6344,114733.37061214447,384924.33158016205,2023-10-23,2024-10-23
PLTR,growth_stocks,sd12,12,50.0,0,136.99532288173052,-25.90590024673083,0,0,66,6290,116041.34018993378,383932.4411497116,2023-10-23,2024-10-23
