2024-10-22 BUY 10000 NVDA @ 143.59 = 1435899.96  # Initial purchase
2024-12-16 BUY 453 NVDA @ 132.00 = 59796.00  # Buying back #1: limit=$131.67, filled=$131.67, holdings = 10453, bank = -59796.00
2025-01-03 SELL 434 NVDA @ 144.47 = 62699.98  # Taking profits #1: limit=$143.59, filled=$143.59, holdings = 10019, bank = 2903.98
2025-01-13 BUY 453 NVDA @ 133.23 = 60353.19  # Buying back #1: limit=$131.67, filled=$131.67, holdings = 10472, bank = -57449.21
2025-01-22 SELL 435 NVDA @ 147.07 = 63975.45  # Taking profits #1: limit=$143.59, filled=$143.59, holdings = 10037, bank = 6526.25
2025-01-27 BUY 454 NVDA @ 118.42 = 53762.68  # Buying back #1: limit=$131.67, filled=$131.67, holdings = 10491, bank = -47236.43
2025-01-27 BUY 475 NVDA @ 118.42 = 56249.50  # Buying back #1: limit=$120.74, filled=$120.74, holdings = 10966, bank = -103485.93
2025-02-10 SELL 455 NVDA @ 133.57 = 60774.35  # Taking profits #1: limit=$131.67, filled=$131.67, holdings = 10511, bank = -42711.58
2025-02-27 BUY 476 NVDA @ 120.15 = 57191.40  # Buying back #1: limit=$120.74, filled=$120.74, holdings = 10987, bank = -99902.98
2025-02-27 SELL 456 NVDA @ 120.15 = 54788.40  # Taking profits #1: limit=$131.67, filled=$131.67, holdings = 10531, bank = -45114.58
2025-02-27 BUY 477 NVDA @ 120.15 = 57311.55  # Buying back #1: limit=$120.74, filled=$120.74, holdings = 11008, bank = -102426.13
2025-02-27 SELL 457 NVDA @ 120.15 = 54908.55  # Taking profits #1: limit=$131.67, filled=$131.67, holdings = 10551, bank = -47517.58
2025-02-27 BUY 477 NVDA @ 120.15 = 57311.55  # Buying back #1: limit=$120.74, filled=$120.74, holdings = 11028, bank = -104829.13
2025-02-27 SELL 458 NVDA @ 120.15 = 55028.70  # Taking profits #1: limit=$131.67, filled=$131.67, holdings = 10570, bank = -49800.43
2025-02-27 BUY 478 NVDA @ 120.15 = 57431.70  # Buying back #1: limit=$120.74, filled=$120.74, holdings = 11048, bank = -107232.13
2025-02-27 SELL 458 NVDA @ 120.15 = 55028.70  # Taking profits #1: limit=$131.67, filled=$131.67, holdings = 10590, bank = -52203.43
2025-02-27 BUY 479 NVDA @ 120.15 = 57551.85  # Buying back #1: limit=$120.74, filled=$120.74, holdings = 11069, bank = -109755.28
2025-02-27 SELL 459 NVDA @ 120.15 = 55148.85  # Taking profits #1: limit=$131.67, filled=$131.67, holdings = 10610, bank = -54606.43
2025-02-27 BUY 480 NVDA @ 120.15 = 57672.00  # Buying back #1: limit=$120.74, filled=$120.74, holdings = 11090, bank = -112278.43
